frame_id,timestamp,x,y,z,target_yaw,target_pitch,distance,armor_orientation_yaw
0,0,-0.537936,0.202526,2.82332,-0.188276,0.0703491,2.88124,0.00983647
1,33.33,-0.537936,0.202526,2.82332,-0.188276,0.0703491,2.88124,0.00983647
2,66.66,-0.535484,0.201769,2.81268,-0.188131,0.0703533,2.8703,0.0228149
3,99.99,-0.53856,0.203136,2.83374,-0.187813,0.0703083,2.8916,0.255782
4,133.32,-0.536288,0.20252,2.82317,-0.187723,0.0703584,2.88078,0.00962168
5,166.65,-0.533532,0.20104,2.80841,-0.187739,0.0702115,2.8657,-0.0192763
6,199.98,-0.531723,0.200526,2.80115,-0.187591,0.0702156,2.85821,-0.00224709
7,233.31,-0.534782,0.202548,2.8176,-0.187569,0.0705088,2.87505,0.0363475
8,266.64,-0.535963,0.20345,2.83016,-0.187159,0.0705141,2.88763,0.0264517
9,299.97,-0.533698,0.202752,2.83339,-0.186179,0.0702061,2.89033,0.0732195
10,333.3,-0.517374,0.201689,2.81071,-0.182035,0.0704547,2.86504,0.0201775
11,366.63,-0.503345,0.205694,2.83696,-0.175597,0.0712693,2.8886,0.103433
12,399.96,-0.471789,0.200179,2.7927,-0.167356,0.0705607,2.83934,-0.0644838
13,433.29,-0.459509,0.208142,2.89196,-0.157574,0.0709615,2.93563,-0.0732969
14,466.62,-0.420545,0.20377,2.84654,-0.146678,0.0706986,2.88464,0.609048
15,499.95,-0.400014,0.208279,2.92518,-0.135906,0.070429,2.95974,0.755452
16,533.28,-0.376983,0.21126,2.98303,-0.125709,0.0701465,3.01417,0.924645
18,599.94,-0.62649,0.246989,2.84628,-0.216653,0.0845454,2.92486,-0.237395
19,633.27,-0.556802,0.239805,2.7463,-0.200035,0.0853702,2.81242,-0.120043
20,666.6,-0.506238,0.242956,2.76625,-0.181002,0.0861801,2.82266,0.0310595
21,699.93,-0.463135,0.250652,2.84295,-0.161488,0.0868003,2.89132,0.304878
23,766.59,-0.360782,0.246644,2.84814,-0.126002,0.0857014,2.88148,0.834759
26,866.58,-0.555035,0.197635,2.78447,-0.196754,0.0694963,2.84612,-0.0757374
27,899.91,-0.509258,0.202471,2.83811,-0.177546,0.0701036,2.89054,0.105314
28,933.24,-0.470665,0.209621,2.94244,-0.158614,0.0702305,2.98721,-0.0490842
29,966.57,-0.402075,0.20107,2.83943,-0.140669,0.0699995,2.8748,0.756544
30,999.9,-0.377218,0.207166,2.97393,-0.126168,0.0689973,3.00491,0.979715
31,1033.23,-0.657793,0.250623,2.86552,-0.225645,0.0850388,2.95071,-0.299028
32,1066.56,-0.576614,0.246882,2.7815,-0.204408,0.0866928,2.85135,-0.0744643
33,1099.89,-0.504357,0.246968,2.76306,-0.180548,0.0877035,2.81956,0.346124
34,1133.22,-0.436808,0.246982,2.76448,-0.156712,0.0880185,2.80965,-0.186474
35,1166.55,-0.373952,0.243214,2.76105,-0.134619,0.0870696,2.79686,0.779771
37,1233.21,-0.63244,0.203906,2.86069,-0.217579,0.0694858,2.93686,-0.247056
38,1266.54,-0.550243,0.199662,2.76241,-0.196616,0.0707673,2.82375,-0.082742
39,1299.87,-0.496108,0.205915,2.82979,-0.173552,0.0715513,2.88032,0.280477
40,1333.2,-0.425546,0.202273,2.79306,-0.151195,0.0714718,2.83252,0.55655
41,1366.53,-0.377456,0.204851,2.85369,-0.131506,0.0710449,2.88583,0.836706
43,1433.19,-0.598864,0.250477,2.82934,-0.208584,0.086394,2.90285,-0.120647
44,1466.52,-0.508546,0.246086,2.75349,-0.182633,0.0876608,2.81085,0.336704
45,1499.85,-0.440978,0.251479,2.80471,-0.155951,0.0883445,2.85028,-0.00451439
46,1533.18,-0.361866,0.241205,2.73934,-0.131339,0.0870731,2.77365,0.730898
48,1599.84,-0.621229,0.20519,2.88529,-0.212071,0.0694111,2.95854,-0.268871
49,1633.17,-0.541192,0.201949,2.79924,-0.190979,0.0707144,2.85822,-0.0147625
50,1666.5,-0.474511,0.203206,2.80139,-0.167792,0.0713971,2.84855,0.109026
51,1699.83,-0.409101,0.202319,2.79947,-0.145108,0.0713893,2.83643,0.574768
52,1733.16,-0.369562,0.208288,2.92358,-0.12574,0.0705644,2.9542,0.818279
54,1799.82,-0.580464,0.249637,2.80394,-0.204134,0.0869623,2.87425,-0.130015
55,1833.15,-0.497042,0.24819,2.75289,-0.178628,0.0884899,2.80839,0.0394781
57,1899.81,-0.360632,0.25057,2.81431,-0.127447,0.0880835,2.84837,0.716444
59,1966.47,-0.588992,0.199582,2.78623,-0.208327,0.0699686,2.85479,-0.264104
60,1999.8,-0.519797,0.200775,2.76526,-0.185806,0.0712356,2.82084,-0.0346048
61,2033.13,-0.455284,0.204211,2.79902,-0.161246,0.0718873,2.84315,0.32704
63,2099.79,-0.343697,0.20741,2.89216,-0.118283,0.0710934,2.91989,0.88712
65,2166.45,-0.548056,0.252242,2.81846,-0.192055,0.0876258,2.88231,0.0127633
66,2199.78,-0.458095,0.249116,2.76758,-0.164034,0.0885714,2.81628,0.235277
67,2233.11,-0.386874,0.250385,2.80476,-0.13707,0.0882045,2.84237,0.456743
68,2266.44,-0.325626,0.25102,2.8581,-0.113442,0.0870426,2.88752,0.7913
71,2366.43,-0.483013,0.203062,2.79443,-0.171157,0.0714828,2.84313,0.0716367
72,2399.76,-0.424442,0.207874,2.85809,-0.147428,0.0718193,2.8969,0.368672
73,2433.09,-0.352973,0.199254,2.78111,-0.126243,0.0709562,2.81049,0.748291
75,2499.75,-0.592088,0.250768,2.82242,-0.206782,0.0867377,2.89474,-0.244989
76,2533.08,-0.501002,0.244937,2.72617,-0.181747,0.0881377,2.78262,-0.0685254
77,2566.41,-0.436406,0.252614,2.8046,-0.154366,0.0887666,2.84957,0.247402
78,2599.74,-0.367796,0.253072,2.83804,-0.128877,0.0882025,2.87294,0.568444
80,2666.4,-0.602322,0.202849,2.84447,-0.20867,0.0696537,2.91461,-0.338486
81,2699.73,-0.511107,0.196121,2.7015,-0.186984,0.0712109,2.75641,-0.155767
82,2733.06,-0.452778,0.201503,2.75595,-0.162836,0.0720236,2.80016,-0.022052
83,2766.39,-0.380199,0.199002,2.72485,-0.138635,0.0722059,2.75844,0.595816
84,2799.72,-0.338271,0.206456,2.86323,-0.117598,0.0714862,2.89052,0.815801
85,2833.05,-0.639747,0.252555,2.8917,-0.217729,0.0850699,2.97237,-0.400068
86,2866.38,-0.548087,0.24884,2.7948,-0.193652,0.0871513,2.85888,-0.0983698
87,2899.71,-0.463494,0.248611,2.76045,-0.166353,0.0885859,2.81011,0.073644
88,2933.04,-0.393601,0.252694,2.81605,-0.138871,0.0886366,2.85463,-0.0345318
89,2966.37,-0.32548,0.251294,2.84109,-0.114064,0.0876498,2.8707,0.721546
91,3033.03,-0.557178,0.201681,2.81943,-0.195107,0.0700606,2.88102,-0.228619
92,3066.36,-0.47939,0.198797,2.74711,-0.172767,0.0711681,2.7957,-0.0634367
93,3099.69,-0.418872,0.203237,2.78912,-0.149066,0.0719353,2.82771,0.368043
94,3133.02,-0.356199,0.200995,2.79018,-0.126975,0.0713353,2.82,0.664644
96,3199.68,-0.597926,0.249888,2.82114,-0.208854,0.0864361,2.89462,-0.314503
97,3233.01,-0.515312,0.247424,2.75863,-0.184672,0.0879384,2.81724,-0.0903724
98,3266.34,-0.437355,0.248766,2.75386,-0.1575,0.0889798,2.79945,0.342815
101,3366.33,-0.615346,0.204506,2.87364,-0.210949,0.0694765,2.9459,-0.392815
102,3399.66,-0.536832,0.201646,2.7899,-0.190096,0.0708561,2.84823,-0.118482
103,3432.99,-0.461912,0.201161,2.75169,-0.166314,0.0719712,2.79744,0.00176351
104,3466.32,-0.391934,0.200394,2.73933,-0.142112,0.072291,2.77447,0.50975
105,3499.65,-0.334112,0.199728,2.75846,-0.120536,0.0717569,2.78579,0.790933
107,3566.31,-0.568437,0.251158,2.82528,-0.198546,0.0869307,2.89282,-0.143886
108,3599.64,-0.470991,0.243706,2.71127,-0.172,0.0883295,2.76265,-0.0433159
109,3632.97,-0.395477,0.245545,2.72782,-0.143976,0.088849,2.76725,-0.075928
110,3666.3,-0.341737,0.255819,2.87824,-0.118178,0.0880326,2.90972,0.596317
112,3732.96,-0.568388,0.201311,2.81312,-0.199365,0.0700294,2.87702,-0.285861
113,3766.29,-0.491197,0.198282,2.74056,-0.177349,0.071096,2.79128,-0.0477516
114,3799.62,-0.434352,0.204714,2.81068,-0.153324,0.071856,2.8514,0.218978
115,3832.95,-0.36023,0.19792,2.73465,-0.130974,0.0716324,2.76537,0.647002
116,3866.28,-0.330071,0.208638,2.93012,-0.112175,0.0706391,2.95603,0.848855
117,3899.61,-0.628738,0.257002,2.90436,-0.213191,0.0862703,2.98273,-0.331616
118,3932.94,-0.533024,0.251095,2.78348,-0.189205,0.0883686,2.84516,0.40854
119,3966.27,-0.450931,0.248077,2.74137,-0.163031,0.0890577,2.78926,0.0167801
120,3999.6,-0.383958,0.25365,2.80453,-0.136061,0.0893684,2.84203,0.436184
121,4032.93,-0.322036,0.253431,2.84893,-0.11256,0.0881643,2.87825,0.763555
122,4066.26,-0.624986,0.204365,2.87029,-0.214397,0.0694582,2.94465,-0.449639
123,4099.59,-0.547482,0.202836,2.78441,-0.194148,0.0713572,2.84496,-0.170814
124,4132.92,-0.467712,0.199954,2.71395,-0.17066,0.0724789,2.76121,-0.0392448
125,4166.25,-0.412039,0.206259,2.80241,-0.145984,0.0726895,2.84004,0.3719
126,4199.58,-0.348632,0.205927,2.81048,-0.123417,0.0725859,2.8395,0.715529
129,4299.57,-0.474974,0.240724,2.67424,-0.175778,0.0883978,2.72674,-0.0766748
130,4332.9,-0.40971,0.250963,2.7623,-0.147249,0.0896292,2.80377,0.15819
131,4366.23,-0.348508,0.25697,2.86701,-0.120965,0.0887412,2.89953,0.544679
133,4432.89,-0.580704,0.204954,2.83801,-0.201831,0.070634,2.90405,-0.31125
134,4466.22,-0.509899,0.205763,2.80587,-0.179764,0.0720265,2.85924,0.0263357
135,4499.55,-0.43165,0.201156,2.75015,-0.155685,0.0721334,2.79108,0.00127326
136,4532.88,-0.369531,0.202349,2.77467,-0.132401,0.0721635,2.80647,0.55186
137,4566.21,-0.324598,0.20603,2.86654,-0.112756,0.0712965,2.89221,0.822576
139,4632.87,-0.527001,0.245885,2.72033,-0.191356,0.0885061,2.7818,-0.166391
140,4666.2,-0.449732,0.247872,2.70856,-0.16454,0.0900342,2.75681,0.0579724
141,4699.53,-0.384026,0.25298,2.77955,-0.137292,0.0899152,2.81734,0.430046
142,4732.86,-0.320458,0.254075,2.82272,-0.113044,0.0891988,2.85219,0.738469
143,4766.19,-0.625723,0.204262,2.86346,-0.215138,0.0695771,2.93814,-0.48093
144,4799.52,-0.55914,0.20587,2.83057,-0.195026,0.0712317,2.8926,-0.151677
145,4832.85,-0.46906,0.199373,2.70614,-0.171627,0.072465,2.75372,-0.0249632
146,4866.18,-0.416913,0.208825,2.82119,-0.146717,0.0730943,2.85947,0.225302
149,4966.17,-0.579581,0.251445,2.81156,-0.203294,0.0873679,2.88167,-0.238947
150,4999.5,-0.484249,0.246264,2.70955,-0.176852,0.0892322,2.76348,-0.0178585
151,5032.83,-0.412911,0.251728,2.76254,-0.148369,0.0898781,2.80455,0.161003
152,5066.16,-0.344889,0.255136,2.82343,-0.12155,0.0894578,2.85584,0.523681
154,5132.82,-0.590151,0.208105,2.87709,-0.202314,0.0707382,2.94436,-0.309655
155,5166.15,-0.508667,0.204945,2.78923,-0.180386,0.0721594,2.84263,-0.0211149
156,5199.48,-0.435046,0.204309,2.76009,-0.156334,0.0729901,2.80162,0.0843497
157,5232.81,-0.369681,0.203473,2.76755,-0.132791,0.0727451,2.79954,0.511395
158,5266.14,-0.316394,0.202064,2.79772,-0.112611,0.071644,2.8228,0.830653
159,5299.47,-0.615882,0.251775,2.8163,-0.215295,0.0871143,2.89383,-0.417163
160,5332.8,-0.532693,0.248982,2.73773,-0.192174,0.0890347,2.80016,-0.149441
161,5366.13,-0.448902,0.247454,2.69585,-0.165002,0.090298,2.74415,-0.0158713
162,5399.46,-0.364852,0.241057,2.63653,-0.13751,0.0903204,2.67254,0.547747
163,5432.79,-0.314693,0.250715,2.77509,-0.112917,0.0895298,2.8041,0.743223
164,5466.12,-0.611919,0.201616,2.79885,-0.215245,0.070257,2.87205,-0.521921
165,5499.45,-0.54824,0.204082,2.77134,-0.195303,0.0721151,2.83241,-0.212834
166,5532.78,-0.470384,0.200992,2.71197,-0.171739,0.0728934,2.75979,0.0179489
167,5566.11,-0.407409,0.205997,2.76092,-0.146505,0.0736786,2.79841,0.338389
168,5599.44,-0.343188,0.205336,2.7678,-0.123363,0.073491,2.79655,0.674745
169,5632.77,-0.298968,0.207482,2.8521,-0.104442,0.0722248,2.87522,0.950935
170,5666.1,-0.578538,0.252625,2.80646,-0.203297,0.0879343,2.87659,-0.24043
171,5699.43,-0.476454,0.243217,2.66767,-0.17674,0.0895119,2.72077,-0.0631798
172,5732.76,-0.401203,0.247493,2.69529,-0.147768,0.0905754,2.7362,0.217968
